Track Name,Artist Name(s),Decade,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Time Signature
Temperature's Rising (feat. Crystal Johnson),"Mobb Deep,Crystal Johnson",90,300200,56,0.804,0.823,1,-5.422,0.256,0.0812,0.0794,0.719,87.322,4
Shadowboxin',"GZA,Method Man",90,209973,66,0.704,0.642,1,-10.11,0.39,0.00704,0.161,0.72,92.09,4
Big Poppa - 2005 Remaster,The Notorious B.I.G.,90,249840,63,0.73,0.608,9,-6.417,0.295,0.301,0.207,0.753,84.555,4
Jazzy Belle,Outkast,90,251666,57,0.878,0.65,11,-8.08,0.252,0.0178,0.0408,0.101,92.03,4
Brooklyn's Finest,"JAY-Z,The Notorious B.I.G.",90,275640,53,0.495,0.715,6,-8.855,0.497,0.135,0.0748,0.742,189.876,4
Electric Relaxation,A Tribe Called Quest,90,226133,68,0.866,0.534,11,-9.201,0.229,0.184,0.0929,0.841,98.243,4
Survival of the Fittest,Mobb Deep,90,224533,71,0.813,0.703,11,-5.077,0.268,0.125,0.237,0.241,94.828,4
This D.J.,"Warren G,O.G.L.B.",90,203026,67,0.804,0.443,6,-10.268,0.134,0.0312,0.112,0.58,92.035,4
Fall In Love,Slum Village,90,235212,61,0.796,0.543,1,-7.994,0.164,0.0486,0.124,0.784,91.212,4
Gettin' It (feat. Parliament Funkadelic),"Too $hort,Parliament Funkadelic",90,341426,62,0.902,0.41,1,-5.31,0.219,0.176,0.119,0.647,84.07,4
Who Shot Ya? - 2005 Remaster,The Notorious B.I.G.,90,319360,67,0.831,0.682,7,-5.697,0.238,0.256,0.494,0.6,91.771,4
Thuggish Ruggish Bone,Bone Thugs-N-Harmony,90,281773,68,0.683,0.74,11,-6.041,0.0462,0.00228,0.238,0.65,129.515,4
Coolie High,Camp Lo,90,241133,55,0.765,0.601,11,-9.326,0.203,0.0225,0.385,0.368,85.928,4
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)","Wu-Tang Clan,RZA,Method Man,Inspectah Deck,Raekwon,U-God,Ol' Dirty Bastard,Ghostface Killah,GZA",90,291066,66,0.817,0.552,8,-10.8,0.385,0.0318,0.826,0.808,102.011,4
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)","Raekwon,Ghostface Killah,Method Man,Cappadonna",90,253226,59,0.683,0.902,1,-7.389,0.291,0.219,0.226,0.724,90.447,4
Can't Knock The Hustle,"JAY-Z,Mary J. Blige",90,317800,52,0.78,0.378,7,-11.481,0.464,0.197,0.0782,0.579,94.895,4
Street Dreams,Nas,90,279933,59,0.752,0.611,11,-8.681,0.315,0.21,0.778,0.746,90.993,4
Elevators (Me & You),Outkast,90,265200,59,0.772,0.586,10,-10.434,0.301,0.0234,0.0562,0.643,85.068,4
One More Chance / Stay with Me - Remix; 2007 Remaster,The Notorious B.I.G.,90,268706,64,0.725,0.68,0,-6.037,0.224,0.149,0.127,0.695,90.964,4
Cell Therapy,Goodie Mob,90,277133,56,0.849,0.476,0,-10.479,0.445,0.0965,0.105,0.48,83.21,4
You Know My Steez,Gang Starr,90,247626,57,0.695,0.674,8,-7.014,0.364,0.19,0.282,0.887,179.58,4
I Like It (I Wanna Be Where You Are),Grand Puba,90,263533,57,0.865,0.641,10,-6.652,0.162,0.0613,0.218,0.761,95.307,4
Hail Mary,Makaveli,90,309800,70,0.696,0.636,10,-6.915,0.335,0.158,0.338,0.358,81.593,4
Check the Rhime,A Tribe Called Quest,90,216693,65,0.881,0.361,11,-14.728,0.237,0.0502,0.246,0.799,96.43,4
Passin' Me By,The Pharcyde,90,303493,69,0.759,0.756,4,-8.145,0.266,0.0903,0.265,0.613,87.059,4
ATLiens,Outkast,90,230693,70,0.918,0.734,11,-2.832,0.269,0.0296,0.191,0.608,97.044,4
Hell on Earth (Front Lines),Mobb Deep,90,274093,65,0.875,0.658,0,-3.641,0.359,0.275,0.122,0.661,92.038,4
Keep Their Heads Ringin',Dr. Dre,90,305573,69,0.672,0.777,9,-4.238,0.0956,0.0379,0.159,0.238,90.575,4
I Juswanna Chill,Large Professor,90,208866,58,0.754,0.801,1,-5.992,0.35,0.184,0.132,0.391,90.843,4
Real Muthaphuckkin' G's,Eazy-E,90,332733,70,0.724,0.853,11,-3.895,0.283,0.0164,0.65,0.775,170.51,4
Mass Appeal,Gang Starr,90,221026,62,0.808,0.726,10,-8.435,0.252,0.0208,0.129,0.616,96.12,4
Still Not a Player (feat. Joe) - Radio Version,"Big Pun,Joe",90,236800,70,0.9,0.619,4,-6.518,0.312,0.203,0.0647,0.864,94.121,4
Halftime,Nas,90,260799,60,0.766,0.793,4,-6.638,0.166,0.0303,0.173,0.652,91.925,4
